20504,81,0
E0217,75,0
ET297,27,0
E0145,49,0
88154,16,0
12507,30,0
ET089,26,0
21235,15,0
10562,34,0
11954,116,81
21512,39,0
12928,170,78
E0359,108,0
10828,10,0
20009,114,14
20279,23,0
E0283,36,0
11367,82,34
12282,29,0
E0141,139,0
10053,126,56
20510,43,0
20286,15,0
10778,46,20
12117,206,142
12459,27,11
20127,432,195
10134,26,14
21094,58,0
E0372,32,0
20701,29,7
ET003,46,0
88025,85,0
20281,23,0
E0358,283,0
20061,30,0
20658,96,0
88088,68,10
20647,18,0
10382,100,0
13066,38,0
ET034,109,0
ET128,41,0
12425,4,0
10849,75,22
ET102,33,0
21102,14,0
14797,69,27
ET104,26,0
11505,283,189
20869,15,0
E0077,26,0
12714,254,157
E0356,19,0
E0153,39,0
E0287,40,0
ET161,29,0
11972,63,22
ET012,53,0
88162,46,18
10699,19,0
14790,43,0
11406,18,0
20804,45,0
E0023,27,0
13539,24,11
11324,17,0
12619,14,0
ET386,26,0
20248,55,11
14794,28,4
11307,230,112
82078,37,0
10707,25,0
ET076,43,0
88012,177,51
10291,22,0
12031,45,40
12465,147,79
20908,48,7
21350,20,2
11204,196,90
20202,66,0
10712,165,53
20817,69,13
21299,30,0
E0050,50,0
14798,55,24
E0249,42,0
20900,16,0
20267,90,0
11028,298,170
20846,69,40
ET083,201,0
20067,51,0
20452,41,5
E0017,58,0
11030,56,1
20544,84,0
21418,39,0
20164,13,0
10049,37,5
12681,6,6
10060,78,0
10635,149,43
20039,21,0
20937,22,0
11134,168,48
11532,161,58
ET234,61,0
88091,47,0
10649,50,0
21078,57,18
10217,21,1
20180,26,16
11723,50,0
E0328,45,0
20179,205,79
21371,74,26
13000,1,0
ET109,14,0
20880,15,1
11507,58,0
21489,11,1
12379,13,0
84094,31,16
20559,30,0
E0394,27,0
11677,22,6
13255,407,214
20499,17,0
13129,57,35
20395,43,0
E0411,86,3
10170,51,40
E0252,15,0
20018,14,0
11984,67,16
ET396,23,0
20838,165,67
11890,34,0
10117,116,0
20571,8,0
14800,171,54
E0415,41,0
13082,165,38
20726,31,0
ET264,36,0
E0304,31,1
20382,80,54
12132,46,21
14789,96,37
21468,268,163
20956,12,0
11849,65,0
ET388,18,0
20789,26,0
20080,38,0
ET387,17,0
E0208,19,0
88141,74,0
E0379,16,0
20171,23,0
21256,86,5
20138,137,0
14792,56,29
ET223,28,0
10271,68,0
10262,73,0
11982,87,84
20149,9,3
20918,4,0
20041,47,0
20657,354,334
E0331,16,0
ET188,6,0
12395,35,25
10088,40,21
10736,23,20
11779,128,56
20743,18,2
13520,88,22
20015,59,25
20722,18,0
10156,60,0
13246,25,0
84078,21,0
ET200,14,0
20534,62,0
E0332,74,0
ET070,75,0
10155,41,0
ET086,41,0
ET127,60,0
88080,83,33
11283,83,33
13391,41,25
ET145,50,0
12567,15,10
12184,8,0
14752,47,0
E0194,50,0
E0044,39,0
13601,30,13
10031,102,53
11838,62,49
88086,57,0
E0149,87,0
11133,105,0
11718,80,11
ET050,11,0
E0211,14,0
ET178,116,0
ET088,150,0
12873,15,14
11945,42,16
10629,55,20
20483,52,0
ET196,28,2
11824,74,0
72057,28,0
14874,17,0
10324,4,0
10137,40,4
E0367,28,0
ET195,47,0
20512,9,0
E0142,42,0
11499,40,0
11254,105,29
11388,33,7
E0204,23,0
21074,178,118
20199,62,0
21322,45,23
20889,9,0
ET007,24,0
10207,60,0
20911,42,17
10561,81,32
10925,79,33
10844,24,0
13145,108,43
21263,215,14
14816,59,30
21261,38,0
ET069,28,0
90006,58,0
13597,155,27
88036,43,0
20216,78,0
ET197,27,0
21105,49,0
ET221,22,0
88029,16,16
ET184,23,0
E0087,89,0
10999,8,0
ET323,42,0
E0197,243,0
11330,472,337
88175,128,21
E0125,34,0
12895,161,84
20646,17,0
88133,54,0
ET063,54,0
12659,74,25
ET170,31,0
ET209,13,0
E0009,73,0
88139,26,0
20576,33,0
11883,16,9
12548,73,34
ET037,23,0
E0360,222,0
21304,17,0
10401,27,0
ET074,31,0
10102,32,0
E0391,12,0
ET079,12,0
21228,60,11
E0069,32,1
14802,70,0
E0159,153,0
10093,231,156
E0130,43,0
10206,11,0
ET053,239,0
11303,150,82
88101,127,57
12511,18,9
11337,24,0
21338,26,0
12685,172,74
12738,684,448
20759,38,0
ET232,18,0
88122,14,0
ET207,10,0
70001,50,20
10833,53,14
20633,29,4
11640,100,10
ET057,37,0
20625,27,7
21245,21,0
20282,50,20
10500,14,0
E0221,31,0
10381,13,0
ET004,38,0
88123,42,36
20640,24,0
88066,135,40
21181,25,0
ET112,13,0
20203,143,97
ET136,130,0
20151,11,0
84027,20,0
ET172,14,0
11410,201,55
20349,95,16
20335,20,19
13624,154,96
20574,441,129
E0051,93,0
ET394,26,0
ET103,57,0
10626,115,50
10305,55,25
10526,34,0
ET123,24,0
E0309,14,0
12331,14,7
12007,29,26
11491,112,102
ET204,27,0
12951,20,0
10311,364,205
E0100,119,0
E0257,88,0
ET054,77,0
88109,36,34
20627,58,0
10065,89,47
12602,46,42
14848,33,0
10900,127,66
20449,73,37
13381,13,12
E0329,59,0
E0148,43,0
13352,19,0
E0090,32,0
ET016,77,0
E0413,14,0
E0388,71,0
ET181,106,0
10110,29,0
ET224,25,1
13516,51,26
10176,46,0
E0311,30,0
ET092,29,0
ET137,27,0
10450,58,0
20012,66,0
E0351,110,0
E0162,71,0
E0378,71,0
20377,44,11
11543,379,332
