20339,26,24
10012,41,35
13500,11,8
11365,45,35
60137,18,10
60331,6,5
10453,15,12
12751,3,1
20812,12,3
12761,20,19
68186,4,4
60157,25,22
21151,6,5
20842,20,18
68018,40,24
90031,5,3
21060,34,32
13492,13,13
10611,4,1
21525,14,11
10961,5,5
86345,15,10
70017,10,8
20577,69,66
21378,21,21
11989,18,12
86375,5,1
66094,10,7
10443,10,9
11756,2,2
86411,19,13
13473,13,12
86043,8,7
13496,7,5
80016,15,11
80095,19,16
60089,18,15
66025,3,3
60187,2,2
20635,14,13
78090,6,1
21299,37,36
60117,12,10
10086,7,4
60045,6,0
10455,54,42
11847,20,16
11434,54,33
11013,81,65
80180,9,6
82089,13,13
10702,10,9
74009,15,12
86158,5,0
13589,1,1
10101,52,47
86002,15,12
10092,117,108
60280,24,23
13416,3,3
10487,35,32
13521,7,4
11574,48,0
13125,3,2
12075,1,0
86156,2,1
82006,1,1
86108,7,4
21375,17,5
60315,16,11
20282,8,8
12404,4,2
12235,4,4
12962,33,31
86372,11,9
60059,20,19
74040,14,7
64061,29,27
78077,15,10
86522,7,5
21453,6,6
10473,38,37
66028,3,3
68107,9,4
12401,21,12
82017,23,18
86242,26,16
21187,16,15
10039,23,22
62085,6,6
66009,3,3
21615,7,6
10977,1,1
84123,22,8
11682,55,43
86347,9,8
68079,18,16
11101,31,29
11861,20,19
20379,38,34
10491,121,103
12280,8,7
86412,30,22
70099,12,11
10025,36,33
86512,13,1
20358,14,12
86196,19,18
12881,58,51
11259,17,14
13298,10,7
11581,20,14
11740,68,52
86275,6,6
60255,7,3
13790,29,25
84025,5,4
12349,14,12
12320,25,25
11035,32,24
10580,47,31
60330,6,0
64075,14,11
13344,17,12
11851,36,29
11209,17,14
12903,14,8
11691,41,36
13285,15,13
20780,7,6
13294,14,11
11936,8,8
13091,58,43
10156,60,49
11665,46,43
10244,27,15
74055,15,0
14734,4,4
13220,4,4
12171,18,11
80063,16,13
11414,57,51
60102,16,15
70025,14,14
68041,9,5
11599,14,8
10635,132,122
12460,9,6
10011,35,4
12379,28,28
12718,3,2
74029,16,5
20503,61,58
12572,3,3
88078,25,23
12378,29,23
80048,13,10
11129,6,0
11125,27,4
66067,2,2
14823,6,1
80108,10,7
10738,26,20
20279,27,25
88001,74,70
13253,3,1
20445,23,22
11864,13,13
13136,1,1
13441,17,16
20192,5,4
10680,7,3
88027,30,27
86544,7,5
78056,5,5
60246,22,14
10667,55,44
10687,104,5
86031,6,2
10285,74,66
86331,4,2
20930,23,22
10123,39,33
86365,8,7
12117,31,21
62096,23,14
11890,80,60
12745,18,18
84071,1,1
10676,79,69
11138,12,0
13093,61,46
10965,1,1
68120,16,13
20628,85,83
84070,12,10
66053,7,1
62025,2,2
62083,3,3
20267,39,35
84074,8,8
82013,6,3
10452,23,21
13278,9,7
72017,10,10
74054,13,11
11380,89,76
11666,15,1
21322,27,23
12269,101,65
10215,11,6
62091,3,1
20386,44,41
10032,28,1
88024,63,60
84012,26,24
74068,16,11
66122,3,3
78009,7,7
60307,26,5
80069,3,3
10141,59,49
12348,27,26
12662,3,3
20644,29,27
80088,15,13
12156,16,13
72032,7,7
13431,31,23
68163,6,4
12096,31,24
12163,11,8
64014,18,8
13543,17,13
76064,4,3
11766,18,14
86401,14,6
60076,21,14
13166,17,15
86339,1,1
80166,19,14
12077,18,14
13559,10,7
12254,16,6
11407,32,27
86015,9,0
10035,33,25
12614,7,6
10397,20,20
20834,19,16
86264,4,3
10773,31,28
86229,19,0
62043,6,6
74034,4,0
21306,11,7
80082,4,4
21584,17,15
13454,11,11
20377,18,16
11236,5,1
10690,53,37
20469,33,33
66118,15,13
21304,15,12
68028,14,14
11107,48,41
13448,19,14
21202,6,5
20038,16,0
12407,25,21
12339,10,9
12520,16,11
20353,8,6
11859,18,18
60080,6,6
60011,12,10
74075,8,4
13293,20,18
11059,32,28
13202,25,25
86017,12,3
13304,13,9
20009,45,43
12457,22,13
20175,57,53
84004,2,0
12777,36,28
20369,30,30
21044,31,30
60300,4,3
12582,98,85
86006,5,5
90003,57,48
13542,28,19
72034,16,16
86490,13,9
12198,23,22
82144,5,3
72045,68,57
12109,47,36
84029,4,3
11671,69,62
76014,11,10
13284,14,0
88004,33,28
13494,5,5
12617,19,15
13519,8,7
11128,16,11
10748,32,27
10004,65,55
11562,11,10
78008,7,5
11333,114,110
12563,10,8
70009,19,17
11998,49,46
12052,17,7
88132,33,31
10216,6,0
86143,6,6
82004,17,14
10375,28,22
13259,19,17
10681,146,108
72055,7,7
12621,6,2
12794,22,21
66082,3,3
78007,3,2
64049,19,2
14854,5,5
21412,22,20
11172,20,17
10578,29,3
12576,14,9
12639,1,1
20083,36,33
12185,27,21
10641,4,0
84102,12,9
21459,4,3
10972,14,14
60044,28,19
13482,1,0
10461,17,15
12097,35,14
11166,11,11
10582,8,4
60269,2,2
60222,20,18
11177,43,29
20424,8,4
11123,39,28
13268,66,57
13478,7,5
12564,10,9
10318,13,0
12147,18,16
68109,5,4
11594,82,3
60122,39,0
70050,33,27
74037,3,0
13140,11,11
78035,16,15
13403,5,5
60197,4,2
13467,32,29
